Date,AAPL,AMZN,AXP,BA,BHP,CAT,FB,GOOG,NFLX,MRK,JNJ,IVPAF,UFPI,SAM,RIO,PFE,WST,VALE,UTX,UNH
5/4/16,89.441612,670.900024,61.24297,120.38427,23.450228,68.352501,118.059998,695.700012,90.790001,50.081158,103.625954,0.769,25.64102,152.509995,25.070715,29.935793,68.774895,4.45691,93.82856,126.178741
5/5/16,89.078583,659.090027,60.918941,121.478737,23.475687,67.017502,117.809998,701.429993,89.370003,49.423279,104.235413,0.782,25.879747,154.440002,25.029686,30.088158,69.442879,4.245986,93.474365,126.446365
5/6/16,88.581795,673.950012,61.481239,122.564034,23.704845,67.54229,119.489998,711.119995,90.839996,48.975552,104.10614,0.793,26.322641,154.210007,25.357943,30.09712,69.14817,4.383545,94.247978,126.188301
5/9/16,88.648651,679.75,60.976116,121.497154,22.287477,65.166908,119.239998,712.900024,90.540001,49.432423,105.011086,0.76,26.087061,153.639999,23.363775,30.312223,69.992996,3.952527,93.287971,126.790359
5/10/16,89.250542,703.070007,61.795734,123.90686,23.059816,66.759697,120.5,723.179993,92.889999,49.962368,105.888329,0.76,26.410597,154.25,24.282898,30.294302,70.562782,4.172621,95.217293,127.65049
5/11/16,88.381157,713.22998,61.557476,123.322685,23.212585,66.686043,119.519997,715.289978,90.019997,49.624298,105.61132,0.807,26.118473,152.039993,24.126974,29.986837,71.004829,4.218474,94.695358,124.898148
5/12/16,86.308014,717.929993,61.319218,124.639343,22.677891,66.013924,120.279999,713.309998,87.739998,49.450687,105.48204,0.806,25.977123,155.449997,23.552523,30.013964,70.012634,4.071744,94.564857,123.99025
5/13/16,86.479965,709.919983,61.10955,122.506737,22.576044,64.513191,119.809998,710.830017,87.879997,49.2314,104.863335,0.83,25.653585,150.039993,23.216061,30.013964,70.395775,3.787457,93.455734,123.28302
5/16/16,89.690018,710.659973,61.061893,124.379753,23.314432,65.093231,118.669998,716.48999,89.120003,49.934959,105.675957,0.856,25.647301,151.350006,23.81513,30.185785,71.947891,3.879162,94.900398,124.850349
5/17/16,89.317413,695.27002,59.813396,122.914711,24.027361,65.415482,117.349998,706.22998,88.629997,49.63343,105.112656,0.858,25.05677,146.580002,24.1598,29.869272,69.875122,3.952527,93.260017,123.818207
5/18/16,90.339684,697.450012,60.537724,121.458954,23.2041,64.991951,117.650002,706.630005,90.5,49.953236,104.891037,0.81,25.157286,146.419998,23.355568,29.995872,69.943878,3.787457,93.156807,124.726112
5/19/16,89.995728,698.52002,59.794342,118.760681,23.195612,63.923958,116.809998,700.320007,89.550003,49.871002,104.20771,0.808,25.113312,147.740005,23.626381,30.185785,70.002823,3.778286,92.424988,124.238708
5/20/16,90.970207,702.799988,60.918941,118.120888,22.779737,64.329056,117.349998,709.73999,92.489998,50.355274,104.756432,0.802,25.537361,150.600006,23.23247,30.511341,71.446892,3.649897,92.978539,125.137062
5/23/16,92.126205,696.75,60.604431,118.297073,22.873096,64.817024,115.970001,704.23999,94.889999,50.181667,104.31002,0.85,25.461977,153.300003,23.257088,30.448029,71.024475,3.668239,92.790894,124.640106
5/24/16,93.530609,704.200012,61.824337,118.222885,23.000406,65.452316,117.699997,720.090027,97.889999,50.802994,104.802933,0.773,26.32893,157.580002,23.503286,30.836889,72.723946,3.585703,93.73851,126.713936
5/25/16,95.173828,708.349976,62.243668,119.483917,23.984924,66.814941,117.889999,725.27002,100.199997,51.689308,105.416718,0.803,26.288092,160.580002,24.20904,31.062965,72.498016,3.732433,94.123184,127.507126
5/26/16,95.928566,714.909973,62.167435,119.901184,23.738796,66.363792,119.470001,724.119995,102.809998,51.524841,104.99823,0.796,26.319504,157.449997,23.733065,31.1353,72.399773,3.723262,94.207626,127.086655
5/27/16,95.871239,712.23999,62.443813,119.817734,23.339895,66.253319,119.379997,732.659973,103.300003,51.607075,105.147034,0.756,26.820189,159.809998,23.577143,31.298086,73.264252,3.649897,94.536018,128.061432
5/31/16,95.403122,722.789978,62.672558,116.971115,22.89007,66.759697,118.809998,735.719971,102.57,51.406055,104.802933,0.72,26.769165,155.399994,23.010897,31.379475,73.755424,3.604044,94.367126,127.746094
6/1/16,94.065598,719.440002,62.815502,117.212212,22.609989,66.538727,118.779999,734.150024,101.510002,51.470016,104.88662,0.743,27.193314,156.389999,22.58416,31.424683,73.863503,3.695751,94.151321,128.567947
6/2/16,93.358643,728.23999,63.292053,117.620178,22.711838,67.781662,118.93,730.400024,101.25,51.91774,106.476929,0.748,26.934998,156.100006,22.6334,31.533194,74.393967,3.805798,94.564156,130.011047
6/3/16,93.549706,725.539978,62.415226,118.11161,23.602999,69.089066,118.470001,722.340027,99.589996,51.753269,106.728043,0.759,27.126341,154.139999,23.257088,31.37042,73.922432,4.227645,94.226387,130.775558
6/6/16,94.228004,726.72998,62.844105,122.302742,24.765751,70.359627,118.790001,716.549988,100.739998,52.237537,107.667351,0.763,27.458008,155.25,24.479853,31.587467,74.05014,4.475251,95.098938,132.027542
6/7/16,94.610161,723.73999,62.79644,122.330536,24.409286,70.718689,117.760002,716.650024,99.889999,52.082218,107.630165,0.763,27.362335,156.440002,24.118769,31.506069,74.924438,4.401886,95.18338,130.87114
6/8/16,94.524185,726.640015,63.149078,123.322685,25.164648,71.915604,118.389999,728.280029,97.860001,52.64872,107.695251,0.78,27.965071,161.960007,24.561916,31.876839,75.710335,4.631151,95.765076,134.177795
6/9/16,95.202492,727.650024,62.624893,123.415413,23.747282,71.040947,118.559998,728.580017,97.089996,52.246677,108.811272,0.76,27.901289,160.729996,23.593555,31.931101,76.054153,4.245986,95.999626,134.445419
